Date,Open,High,Low,Close,Adj Close,Volume
10-05-2021,3145.949951,3164.199951,3125,3145.5,2983.943115,2137153
11-05-2021,3125,3128.100098,3091.149902,3122.600098,2962.218994,2415625
12-05-2021,3120,3120,3070.600098,3087.600098,2929.01709,1978558
14-05-2021,3098.5,3098.5,3040,3051.5,2894.770752,2043935
17-05-2021,3055,3075.199951,3036,3069.75,2912.08374,2890462
18-05-2021,3100,3124,3078,3088.800049,2930.155273,2098538
19-05-2021,3084,3118,3067.100098,3082,2923.703857,1986041
20-05-2021,3067.100098,3088.800049,3052.100098,3060,2902.834473,2329027
21-05-2021,3061,3088.199951,3055.100098,3080.5,2922.28125,1685566
24-05-2021,3081.5,3105,3072,3081.5,2923.230225,1652260
25-05-2021,3092,3128.25,3082.100098,3114,2968.510742,1841613
26-05-2021,3120,3165,3103.800049,3158.5,3010.931641,1923753
27-05-2021,3161.949951,3217.75,3161.800049,3180,3031.426758,5959785
28-05-2021,3189.5,3198,3135.649902,3143.600098,2996.728027,1763701
31-05-2021,3150,3170.350098,3128.600098,3159.149902,3011.550781,1652799
01-06-2021,3168.600098,3169.949951,3132,3153,3005.688477,1377441
02-06-2021,3150.850098,3159.449951,3115,3129.449951,2983.23877,2240078
03-06-2021,3154.550049,3154.550049,3122.649902,3141.25,2994.487549,1281706
04-06-2021,3128,3156.850098,3125,3143.75,2996.87085,1836060
07-06-2021,3145,3190.449951,3133.600098,3183.199951,3034.477539,2559821
08-06-2021,3198,3231,3187.199951,3200.149902,3050.635498,2574057
09-06-2021,3202,3220,3186.199951,3200.25,3050.730713,1710925
10-06-2021,3210,3224,3193,3216.800049,3066.507568,1874324
11-06-2021,3211.550049,3309,3211,3273.800049,3120.844727,3452954
14-06-2021,3279,3308.699951,3270.350098,3276.350098,3123.275879,1847360
15-06-2021,3298,3298,3251.550049,3262.75,3110.311035,1304985
16-06-2021,3262.100098,3294.699951,3253,3274.350098,3121.368896,1635552
17-06-2021,3265.5,3336.050049,3260,3317.75,3162.741211,2273413
18-06-2021,3350.899902,3358,3275,3297.300049,3143.246826,3380431
21-06-2021,3265,3286,3251.699951,3273.100098,3120.177734,1130569
22-06-2021,3304,3327.050049,3285,3301.199951,3146.964111,1708688
23-06-2021,3329,3329,3256.399902,3261.399902,3109.023682,1467104
24-06-2021,3284,3383,3278.5,3373.600098,3215.982422,4155204
25-06-2021,3375.25,3399.649902,3350,3380.800049,3222.845703,2722861
28-06-2021,3391.5,3391.5,3333,3336.75,3180.85376,1355238
29-06-2021,3342,3366.300049,3326.5,3340.850098,3184.761963,1497322
30-06-2021,3346,3382,3338.5,3345.75,3189.433105,1693146
01-07-2021,3358,3362,3332.350098,3341.5,3185.381592,990310
02-07-2021,3331,3339.699951,3295.199951,3325.449951,3170.081299,1682274
05-07-2021,3342,3374,3302,3321,3165.8396,1972858
06-07-2021,3313,3328,3256.100098,3262.300049,3109.882324,2159420
07-07-2021,3275,3282.699951,3241.600098,3274.949951,3121.941406,2640710
08-07-2021,3298,3298,3231.899902,3258.5,3106.259521,2485811
09-07-2021,3250,3282,3201,3208.149902,3058.261719,6365067
12-07-2021,3235,3236,3188.350098,3193.100098,3043.915039,1892226
13-07-2021,3214,3214,3175,3187.550049,3038.624512,1809339
14-07-2021,3187,3222,3185,3214.550049,3064.362549,2044279
15-07-2021,3227.600098,3231.850098,3194,3202.949951,3059.968018,2232968
16-07-2021,3213,3219.850098,3192,3194.800049,3052.181885,1256526
19-07-2021,3180,3199.800049,3176,3184.600098,3042.437744,1597058
20-07-2021,3184.600098,3215,3156.149902,3205.800049,3062.690918,1811945
22-07-2021,3190,3224.949951,3190,3216.350098,3072.77002,2859334
23-07-2021,3230,3241.550049,3206.649902,3212.850098,3069.425781,1776193
26-07-2021,3200,3224.25,3190.850098,3197.550049,3054.809326,1259611
27-07-2021,3200,3210,3161.149902,3182.949951,3040.861084,1121367
28-07-2021,3188,3204.449951,3132.399902,3197.800049,3055.047852,1660654
29-07-2021,3200.25,3225.449951,3190.300049,3195.800049,3053.137695,1731997
30-07-2021,3219,3223.5,3162.350098,3167.449951,3026.052979,2999943
02-08-2021,3180,3224.899902,3167,3219.399902,3075.683594,2608669
03-08-2021,3229,3290,3218.949951,3284.899902,3138.260254,3804735
04-08-2021,3300,3305.199951,3261.199951,3273.949951,3127.798584,2929598
05-08-2021,3275,3315,3262.5,3283.949951,3137.352295,2534521
06-08-2021,3272.550049,3324,3265,3309.800049,3162.048584,2292362
09-08-2021,3323.899902,3337,3310,3322.699951,3174.372314,1510489
